==========================================
SLURM_JOB_ID = 3404566
SLURM_JOB_NODELIST = c03-06
TMPDIR = /tmp/SLURM_3404566
==========================================
/home1/feinashl/anaconda3/bin/python
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
[Sat May  2 08:30:41 2026] host=c03-06.hpc.usc.edu world=2
  variant=att  data_dir=/scratch1/feinashl/data/sudoku-extreme-1k-aug-1000
  out_dir=/scratch1/feinashl/eqlm_sudoku/run-trm-att-7m
  metadata: {'pad_id': 0, 'ignore_label_id': 0, 'blank_identifier_id': 0, 'vocab_size': 11, 'seq_len': 81, 'num_puzzle_identifiers': 1, 'total_groups': 1000, 'mean_puzzle_examples': 1.0, 'total_puzzles': 1000, 'sets': ['all']}
TinyRecursiveReasoningModel_ACTV1(
  (inner): TinyRecursiveReasoningModel_ACTV1_Inner(
    (embed_tokens): CastedEmbedding()
    (lm_head): CastedLinear()
    (q_head): CastedLinear()
    (puzzle_emb): CastedSparseEmbedding()
    (rotary_emb): RotaryEmbedding()
    (L_level): TinyRecursiveReasoningModel_ACTV1ReasoningModule(
      (layers): ModuleList(
        (0-1): 2 x TinyRecursiveReasoningModel_ACTV1Block(
          (self_attn): Attention(
            (qkv_proj): CastedLinear()
            (o_proj): CastedLinear()
          )
          (mlp): SwiGLU(
            (gate_up_proj): CastedLinear()
            (down_proj): CastedLinear()
          )
        )
      )
    )
  )
)
  TRM-att params: 6.828M
  H_cycles=3 L_cycles=6  L_layers=2  halt_max_steps=16
  total optim steps target = 65,104
[Sat May  2 08:30:42 2026] Outer iter 0/10 (epoch=0)
  step=   4150  lm_loss=0.8058  q_halt_loss=0.0074  exact_accuracy=0.0000  accuracy=0.6559  steps=15.5641  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   4200  lm_loss=0.7907  q_halt_loss=0.0001  exact_accuracy=0.0000  accuracy=0.6730  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4250  lm_loss=0.7903  q_halt_loss=0.0031  exact_accuracy=0.0500  accuracy=0.7191  steps=14.7000  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4300  lm_loss=0.7906  q_halt_loss=0.0075  exact_accuracy=0.0000  accuracy=0.6898  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4350  lm_loss=0.7833  q_halt_loss=0.0003  exact_accuracy=0.0000  accuracy=0.6968  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4400  lm_loss=0.7658  q_halt_loss=0.0003  exact_accuracy=0.0000  accuracy=0.6681  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4450  lm_loss=0.7867  q_halt_loss=0.0033  exact_accuracy=0.0000  accuracy=0.6728  steps=15.2222  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4500  lm_loss=0.7844  q_halt_loss=0.0030  exact_accuracy=0.0217  accuracy=0.6653  steps=15.6957  lr=0.0001  dt/50=8.11s eta=2h44m
  step=   4550  lm_loss=0.7810  q_halt_loss=0.0041  exact_accuracy=0.0408  accuracy=0.7213  steps=15.7347  lr=0.0001  dt/50=8.11s eta=2h43m
  step=   4600  lm_loss=0.7846  q_halt_loss=0.0023  exact_accuracy=0.0000  accuracy=0.6818  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h43m
  step=   4650  lm_loss=0.7706  q_halt_loss=0.0037  exact_accuracy=0.0435  accuracy=0.7013  steps=15.4130  lr=0.0001  dt/50=8.11s eta=2h43m
